date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:24	55844/55844	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202020%2014:33:46%20GMT	http://t.commonsupport.com/hotera/index-5.html	C:/My%20Web%20Sites/xyz7/t.commonsupport.com/hotera/index-5.html	(from )
12:43:25	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Mar%202021%2007:13:24%20GMT	http://t.commonsupport.com/robots.txt		(from )
12:43:25	155764/155764	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Jul%202019%2002:18:02%20GMT	http://t.commonsupport.com/hotera/css/bootstrap.css	C:/My%20Web%20Sites/xyz7/t.commonsupport.com/hotera/css/bootstrap.css	(from http://t.commonsupport.com/hotera/index-5.html)
12:43:26	193789/193789	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2002:01:04%20GMT	http://t.commonsupport.com/hotera/css/style.css	C:/My%20Web%20Sites/xyz7/t.commonsupport.com/hotera/css/style.css	(from http://t.commonsupport.com/hotera/index-5.html)
12:43:26	24609/24609	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Jun%202020%2013:24:50%20GMT	http://t.commonsupport.com/hotera/css/responsive.css	C:/My%20Web%20Sites/xyz7/t.commonsupport.com/hotera/css/responsive.css	(from http://t.commonsupport.com/hotera/index-5.html)
12:43:27	1904/1904	---M--	200	added ('OK')	image/png	date:Wed,%2006%20May%202020%2023:49:46%20GMT	http://t.commonsupport.com/hotera/images/favicon.png	C:/My%20Web%20Sites/xyz7/t.commonsupport.com/hotera/images/favicon.png	(from http://t.commonsupport.com/hotera/index-5.html)
12:43:27	59456/59456	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202020%2014:38:20%20GMT	http://t.commonsupport.com/hotera/index.html	C:/My%20Web%20Sites/xyz7/t.commonsupport.com/hotera/index.html	(from http://t.commonsupport.com/hotera/index-5.html)
12:43:27	4568/4568	---M--	200	added ('OK')	image/png	date:Wed,%2013%20May%202020%2018:43:48%20GMT	http://t.commonsupport.com/hotera/images/logo-2.png	C:/My%20Web%20Sites/xyz7/t.commonsupport.com/hotera/images/logo-2.png	(from http://t.commonsupport.com/hotera/index-5.html)
12:43:27	59177/59177	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202020%2014:33:30%20GMT	http://t.commonsupport.com/hotera/index-2.html	C:/My%20Web%20Sites/xyz7/t.commonsupport.com/hotera/index-2.html	(from http://t.commonsupport.com/hotera/index-5.html)
12:43:28	53076/53076	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202020%2014:33:42%20GMT	http://t.commonsupport.com/hotera/index-3.html	C:/My%20Web%20Sites/xyz7/t.commonsupport.com/hotera/index-3.html	(from http://t.commonsupport.com/hotera/index-5.html)
